rol_id,nombre,descripcion
1,Administrador,"Gestiona el sistema y tiene acceso total."
2,Usuario,"Accede a funciones básicas del sistema."
3,Supervisor,"Supervisa las operaciones y usuarios."
4,Auditor,"Revisa y audita los registros."
5,Contador,"Gestiona la contabilidad y finanzas."
6,Almacenero,"Administra el inventario y almacén."
7,Comprador,"Realiza compras y gestiona proveedores."
8,Vendedor,"Gestiona ventas y atención al cliente."
9,Recepcionista,"Atiende llamadas y visitantes."
10,Soporte Técnico,"Brinda soporte técnico a usuarios."
11,Gerente,"Dirige y toma decisiones estratégicas."
12,Analista,"Analiza datos y genera reportes."
13,Desarrollador,"Desarrolla y mantiene el software."
14,Tester,"Realiza pruebas y asegura la calidad."
15,Recursos Humanos,"Gestiona el personal y nómina."
16,Marketing,"Promociona productos y servicios."
17,Logística,"Coordina envíos y transportes."
18,Operador,"Realiza operaciones diarias."
19,Coordinador,"Coordina equipos y proyectos."
20,Director,"Dirige áreas y departamentos."
21,Secretario,"Apoya en tareas administrativas."
22,Planificador,"Planifica actividades y recursos."
23,Capacitador,"Capacita al personal."
24,Investigador,"Realiza investigaciones y estudios."
25,Consultor,"Brinda asesoría especializada."
26,Cliente,"Accede a servicios como cliente."
27,Proveedor,"Ofrece productos o servicios."
28,Encargado,"Responsable de un área específica."
29,Auxiliar,"Apoya en tareas diversas."
30,Gestor,"Gestiona procesos y trámites."
31,Especialista,"Especialista en un área técnica."
32,Ejecutivo,"Ejecuta decisiones y estrategias."
33,Promotor,"Promueve productos o servicios."
34,Monitor,"Monitorea procesos y sistemas."
35,Inspector,"Inspecciona calidad y cumplimiento."
36,Diseñador,"Diseña materiales y productos."
37,Redactor,"Redacta documentos y contenidos."
38,Editor,"Edita y revisa contenidos."
39,Productor,"Produce bienes o servicios."
40,Encargado de Seguridad,"Gestiona la seguridad del sistema."
41,Encargado de Mantenimiento,"Realiza mantenimiento preventivo."
42,Encargado de Calidad,"Asegura la calidad de procesos."
43,Encargado de Compras,"Gestiona las compras del área."
44,Encargado de Ventas,"Gestiona las ventas del área."
45,Encargado de Inventario,"Controla el inventario."
46,Encargado de Logística,"Coordina la logística."
47,Encargado de Recursos,"Gestiona los recursos disponibles."
48,Encargado de Proyectos,"Gestiona proyectos específicos."
49,Encargado de Comunicación,"Gestiona la comunicación interna."
50,Encargado de Tecnología,"Gestiona la tecnología y sistemas."